City,Province,Year,Boys_Enrolled,Girls_Enrolled,Gender_parity_score,%_Complete_Primary_Schools,Complete_Primary_Schools,%_Primary_Schools_with_single_classroom,Primary_Schools_with_single_classroom,Number_of_primary_schools_as_%_of_total_schools,Number_of_primary_schools,%_Primary_Schools_with_single_teacher,Primary_Schools_with_single_teacher,Number_of_secondary_schools_as_%_of_total_schools,Number_of_secondary_schools,Total_number_of_schools,Population,Area ,Boundary_wall,Building_condition_satisfactory,Drinking_water,Toilet,Electricity,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",School_infrastructure_score,Education_score,Learning_score,Enrolment_score,Retention_score,Educational_Budget_Spend_of_GDP,Pakistan_Economic_Growth,Bomb_Blasts_Occurred,Drone_attacks_in_Pakistan,Terrorist_Attacks_Affectees,Global_Terrorism_Index_Pakistan
Multan,Punjab,2016,0.5505,0.4495,0.816530427,0.872047244,886,0.029527559,30,0.718021201,1016,0.098425197,100,0.281978799,399,1415,3116851,3720,96.850394,82.985075,99.114173,95.374016,88.582677,Cluster 2,92.581267,63.88516,43.78335,66.811191,50,2.2,0.047,16,3,1803,8.61
Muzaffargarh,Punjab,2016,0.7069,0.2931,0.414627246,0.746511628,1284,0.054069767,93,0.825732117,1720,0.199418605,343,0.174267883,363,2083,2635903,8249,95.697674,82.178218,98.895349,95.930233,87.093023,Cluster 2,91.958899,57.190606,50.725,60.727482,38,2.2,0.047,16,3,1803,8.61
Nankana Sahib,Punjab,2016,0.6271,0.3729,0.594642003,0.843444227,431,0.023483366,12,0.688679245,511,0.133072407,68,0.311320755,231,742,1410000,2960,93.737769,75.442043,98.630137,95.694716,84.540117,Cluster 2,89.608957,72.389784,69.45,76.823655,56,2.2,0.047,16,3,1803,8.61
Narowal,Punjab,2016,0.5744,0.4256,0.740947075,0.815544041,787,0.066321244,64,0.751557632,965,0.118134715,114,0.248442368,319,1284,1265097,2337,91.19171,84.942887,97.823834,94.92228,72.849741,Cluster 2,88.34609,76.340114,68.775,82.028583,62,2.2,0.047,16,3,1803,8.61
Okara,Punjab,2016,0.5486,0.4514,0.822821728,0.73,803,0.031818182,35,0.701083493,1100,0.238181818,262,0.298916507,469,1569,2232992,3004,91.454545,87.181818,98.272727,97.181818,86.272727,Cluster 2,92.072727,74.816165,56.206284,80.919195,67,2.2,0.047,16,3,1803,8.61
Pakpattan,Punjab,2016,0.589,0.411,0.697792869,0.825825826,550,0.010510511,7,0.730263158,666,0.163663664,109,0.269736842,246,912,1286680,2724,95.945946,82.582583,97.297297,98.348348,91.291291,Cluster 2,93.093093,69.483538,63.1,72.738253,51,2.2,0.047,16,3,1803,8.61
Rahim Yar Khan,Punjab,2016,0.599,0.401,0.669449082,0.676771504,1786,0.064797272,171,0.814003701,2639,0.258431224,682,0.185996299,603,3242,3141053,11880,90.185676,77.600607,95.718075,90.564608,63.849943,Cluster 2,83.583782,64.432986,64.946984,49.68753,53,2.2,0.047,16,3,1803,8.61
Rajanpur,Punjab,2016,0.765,0.235,0.307189542,0.573869347,571,0.148743719,148,0.860726644,995,0.277386935,276,0.139273356,161,1156,1103618,12319,89.346734,81.20603,96.582915,91.055276,58.39196,Cluster 2,83.316583,50.253661,46.084804,52.433417,29,2.2,0.047,16,3,1803,8.61
Rawalpindi,Punjab,2016,0.5575,0.4425,0.793721973,0.941035857,1181,0.014342629,18,0.635121457,1255,0.044621514,56,0.364878543,721,1976,3363911,5286,85.816733,81.033091,92.031873,95.059761,80.876494,Cluster 2,86.96359,82.315609,71.128775,77.880167,86,2.2,0.047,16,3,1803,8.61
Sahiwal,Punjab,2016,0.593,0.407,0.686340641,0.888268156,636,0.018156425,13,0.59517872,716,0.093575419,67,0.40482128,487,1203,1843194,3201,87.290503,80.586592,99.72067,97.905028,98.184358,Cluster 2,92.73743,72.353003,55.325,73.382237,70,2.2,0.047,16,3,1803,8.61
Sargodha,Punjab,2016,0.5592,0.4408,0.788268956,0.843562874,1127,0.046407186,62,0.658128079,1336,0.11002994,147,0.341871921,694,2030,2665979,5854,89.745509,83.269962,98.727545,96.107784,87.5,Cluster 2,91.07016,73.282149,60.194776,70.849114,68,2.2,0.047,16,3,1803,8.61
Sheikhupura,Punjab,2016,0.5661,0.4339,0.766472355,0.768796992,818,0.073308271,78,0.741980474,1064,0.157894737,168,0.258019526,370,1434,2321029,15960,92.575188,79.584121,97.838346,94.172932,79.981203,Cluster 2,88.830358,79.528024,62.15,73.575378,89,2.2,0.047,16,3,1803,8.61
Sialkot,Punjab,2016,0.5116,0.4884,0.954652072,0.813387424,1203,0.07775524,115,0.738392411,1479,0.108857336,161,0.261607589,524,2003,1688823,3016,96.078431,83.389831,97.701149,95.807978,88.911427,Cluster 2,92.377763,82.35947,55.979907,84.613435,90,2.2,0.047,16,3,1803,8.61
Toba Tek Singh,Punjab,2016,0.5379,0.4621,0.859081614,0.934722222,673,0.022222222,16,0.596520298,720,0.043055556,31,0.403479702,487,1207,1621593,3252,88.333333,85.833333,99.722222,98.194444,94.166667,Cluster 2,93.25,80.199125,71.175,76.411881,77,2.2,0.047,16,3,1803,8.61
Vehari,Punjab,2016,0.57,0.43,0.754385965,0.843570058,879,0.025911708,27,0.692358804,1042,0.130518234,136,0.307641196,463,1505,2090416,4364,98.080614,85.645472,99.328215,97.888676,93.28215,Cluster 2,94.845025,69.009491,54.95,69.086973,59,2.2,0.047,16,3,1803,8.61
Badin,Sindh,2016,0.6701,0.3299,0.49231458,0.051148225,147,0.279749478,804,0.941677588,2874,0.669102296,1923,0.058322412,178,3052,1136044,6726,44.919972,30.654141,32.776618,53.653445,22.512178,Cluster 1,36.903271,52.435267,33.908333,45.841386,47,2.2,0.047,16,3,1803,8.61
Dadu,Sindh,2016,0.5961,0.4039,0.677570877,0.500508647,984,0.120549339,237,0.933966746,1966,0.378942014,745,0.066033254,139,2105,1688811,19070,65.462869,32.706002,42.166836,52.034588,45.422177,Cluster 1,47.558494,64.623178,42.479032,80.61963,45,2.2,0.047,16,3,1803,8.61
Ghotki,Sindh,2016,0.697,0.303,0.43472023,0.34609076,633,0.126845271,232,0.933163265,1829,0.527063969,964,0.066836735,131,1960,970549,6083,54.948059,25.806452,73.482777,49.808639,19.081465,Cluster 1,44.625478,60.014987,48.475,49.289507,62,2.2,0.047,16,3,1803,8.61
Hyderabad,Sindh,2016,0.6866,0.3134,0.456452083,0.447187929,326,0.24691358,180,0.829351536,729,0.305898491,223,0.170648464,150,879,1565000,5519,80.109739,38.271605,57.887517,78.463649,68.861454,Cluster 2,64.718793,61.594782,41.443617,63.595561,60,2.2,0.047,16,3,1803,8.61
Jacobabad,Sindh,2016,0.7972,0.2028,0.254390366,0.320541761,426,0.25131678,334,0.922916667,1329,0.42814146,569,0.077083333,111,1440,1425572,5278,44.093303,10.308503,35.440181,43.265613,35.741159,Cluster 1,33.769752,45.212825,24.2,47.373783,39,2.2,0.047,16,3,1803,8.61
